CT	WV	1167101.00
TN	MT	757187.00
FL	NE	2635070.00
SD	MT	313519.00
MN	WV	371985.00
AK	NY	1013374.00
LA	MN	966182.00
NH	AZ	232613.00
PR	NJ	7892322.00
AP	PA	5650.00
LA	CT	437321.00
MS	AL	716911.00
VI	MS	15000.00
PR	WI	254570.00
ND	CO	40260.00
WA	OK	750750.00
ZZ	IN	26650.00
ID	AZ	392292.00
WY	IL	2825261.00
MD	FL	18549642.00
WA	DC	5345209.00
IL	OH	21376721.00
MO	WI	2997752.00
DC	FL	27326730.00
OR	MD	433334.00
CO	IL	39846284.00
WV	IL	3906675.00
IA	NE	771325.00
VA	CA	72764177.00
KS	ME	73275.00
RI	ND	42582.00
HI	WI	458206.00
ND	OR	49300.00
GU	MD	27595.00
HI	NJ	67175.00
VT	NM	327160.00
DE	MS	58450.00
OK	FL	3227294.00
VA	RI	6170531.00
MO	NJ	785506.00
WI	KS	279916.00
NC	AK	608303.00
AA	GA	4935.00
NJ	KS	1583569.00
FL	OH	33813171.00
OK	IA	645632.00
MO	AZ	2023733.00
AR	NM	119935.00
AK	SC	58730.00
SC	KS	310822.00
HI	AZ	488986.00
IN	PA	1502991.00
MS	SD	69330.00
MS	TN	1382329.00
NM	ID	68900.00
VA	IN	22028517.00
DC	IA	7795548.00
WA	WA	364014123.00
CA	ND	7353578.00
MT	ID	146052.00
HI	CA	1436740.00
AR	MN	535223.00
PA	GU	10890.00
OR	IL	22197612.00
MA	SC	2989073.00
CO	MD	3386603.00
WV	MD	554077.00
VA	WI	18610834.00
AR	CT	110350.00
CT	NC	4059995.00
TX	SC	8373711.00
AE	OR	3000.00
NC	MI	1478930.00
IL	KY	8551078.00
MO	CA	3596171.00
ME	DE	302800.00
MT	LA	135724.00
NE	MT	160720.00
PA	OR	2894313.00
NC	UT	1467139.00
MN	NC	1636633.00
MD	WA	8951894.00
SC	GA	3281489.00
NM	LA	161803.00
MO	RI	523706.00
IL	TX	14063008.00
VA	NJ	29565342.00
IL	MA	45120668.00
AL	MT	517275.00
HI	RI	5000.00
GU	IL	159540.00
GA	VI	67400.00
NJ	GA	4416261.00
DE	AS	2000.00
VA	AZ	12322608.00
WI	GA	916689.00
KY	SC	730202.00
DC	DC	33326269.00
FL	KY	19143745.00
GA	DE	867492.00
DC	OK	4881037.00
MO	IN	1876071.00
VI	OR	5000.00
OK	DC	1176512.00
DE	CO	312217.00
FL	TX	24925843.00
VT	MN	160588.00
BL	AR	250.00
FL	MA	94757598.00
NC	AL	828988.00
HI	IN	149205.00
VT	CT	342786.00
OK	OK	166856379.00
ME	VI	59050.00
MP	GU	43650.00
LA	NM	283523.00
PA	AS	141250.00
IA	KY	386569.00
MT	VT	347425.00
NH	CA	796333.00
PR	IN	1174250.00
TX	NY	62432180.00
MA	NY	37731051.00
ZZ	WI	55669.00
ID	RI	62375.00
ZZ	NJ	57750.00
DE	OR	186350.00
IA	TX	1445135.00
ID	CA	908348.00
IA	MA	4922888.00
VI	CO	15586.00
MD	OK	3646615.00
MS	AK	219450.00
MP	CO	2300.00
ND	MS	4000.00
NH	RI	559968.00
MD	DC	37600898.00
NM	VT	1357970.00
DE	GU	2700.00
WA	FL	5004540.00
PR	RI	340450.00
NC	TN	1149763.00
NC	SD	388772.00
AZ	GA	1999934.00
KY	NY	3711082.00
PA	CO	2685455.00
ID	IN	615406.00
NV	CT	778360.00
DC	WA	19981389.00
NY	KS	5966900.00
WA	IA	1306670.00
ZZ	AZ	9174.00
NT	WA	900.00
NV	MN	1748436.00
WY	MD	148206.00
UT	MT	630536.00
OK	WA	528316.00
MI	MT	1478499.00
MP	AS	14000.00
PR	CA	1166054.00
NH	IN	691323.00
MD	MA	39776079.00
CT	VT	2961446.00
MD	TX	15264662.00
RI	GA	314610.00
NC	IL	30138111.00
IA	OK	176350.00
MN	VT	2170332.00
IL	WA	7173182.00
ZZ	CT	48724.00
DE	MO	209666.00
OR	MI	592077.00
MP	VA	12757.00
ND	AR	101278.00
NV	AZ	3087980.00
DE	HI	128550.00
OR	UT	605815.00
VI	VA	797223.00
ZZ	MN	9000.00
IA	DC	9192574.00
AP	GA	500.00
MD	KY	5848317.00
CO	AK	1026769.00
WV	AK	109500.00
GU	MI	3000.00
GU	UT	7500.00
PR	NM	264800.00
LA	IN	1295075.00
TN	SC	1701159.00
SD	SC	168250.00
NH	NM	414195.00
GU	AL	1804.00
LA	CA	4708073.00
FL	WA	5448275.00
NY	MP	5000.00
NV	WI	3000830.00
QC	VT	560.00
DE	NH	136408.00
NV	NJ	3456304.00
OH	SC	1367749.00
DE	PR	500.00
PA	VA	22816800.00
NY	PA	47721720.00
ID	NM	347572.00
WA	OH	5731881.00
LA	RI	550963.00
OR	AL	118930.00
CA	GA	18533462.00
ND	NV	51622.00
AE	VA	21757.00
VA	CT	12254690.00
MN	LA	740321.00
IR	IL	23115.00
AR	WI	1087132.00
MS	MD	144195.00
IA	WA	259504.00
MT	NC	208751.00
IL	DC	14641973.00
VA	MN	11498136.00
CT	LA	1971261.00
VI	NH	26230.00
MP	NH	500.00
IN	GA	1132950.00
IL	OK	2313227.00
KS	DE	115100.00
PA	HI	835205.00
PA	MO	3504023.00
AK	MT	140388.00
VI	PR	4000.00
NY	ND	5067028.00
VT	AZ	202445.00
NM	NC	811765.00
AE	HI	200.00
TN	NY	7686897.00
SD	NY	1153484.00
AR	NJ	692280.00
AE	MO	635.00
AR	AZ	850417.00
OR	TN	149195.00
OR	SD	187858.00
FL	DC	66077470.00
VT	NJ	238184.00
HI	NM	189114.00
WY	AK	72850.00
VI	HI	1250.00
DE	VA	1652503.00
OK	TX	5723340.00
DC	KY	12216715.00
OK	MA	11718190.00
PA	PR	139650.00
FL	OK	3765664.00
VI	MO	93303.00
MO	NM	1139968.00
MP	HI	23400.00
ON	IL	750.00
PA	NH	2491747.00
OH	NY	12455502.00
VT	WI	506951.00
AE	NH	4250.00
WA	NE	305734.00
DC	MA	53332196.00
DC	TX	38624768.00
OK	KY	2060308.00
NT	MA	250.00
GU	SD	2700.00
GU	TN	750.00
AA	PA	10350.00
MO	CT	791228.00
MI	NY	14453180.00
WY	AL	92900.00
FL	FL	904100619.00
MO	MN	1932338.00
WI	PA	1791927.00
ND	MO	49030.00
SP	AR	1000.00
NS	IL	750.00
DE	AR	114369.00
HI	CT	94200.00
VT	IN	177093.00
AR	CA	1193404.00
ND	HI	6000.00
MS	IL	3051135.00
UT	NY	2787799.00
HI	MN	267774.00
ME	ME	65121785.00
IL	IA	6837664.00
AR	RI	268250.00
JP	VT	500.00
KY	MT	459054.00
MD	NE	1432506.00
DC	OH	29533676.00
AL	SC	1052046.00
IL	FL	19186704.00
CO	TN	1108696.00
CO	SD	1301522.00
WV	SD	324625.00
WV	TN	392217.00
AZ	ND	1169122.00
VT	RI	176598.00
VA	NM	6952431.00
ND	NH	8800.00
FL	IA	7872780.00
OK	OH	2506004.00
NE	SC	97950.00
GA	ME	747650.00
SC	PA	2218709.00
WY	MI	255650.00
ND	PR	1500.00
IN	KS	352137.00
CT	ID	628409.00
WY	UT	1459599.00
AR	IN	718250.00
VT	CA	555984.00
MA	MT	3287562.00
MN	ID	545630.00
TX	MT	6640745.00
NJ	PA	25394834.00
DE	NV	409394.00
CO	UT	3732674.00
WV	UT	200097.00
MI	SC	1087340.00
AZ	PA	3281910.00
CA	KS	9437195.00
CO	MI	3148781.00
WV	MI	637728.00
GU	AK	90800.00
NM	WY	135875.00
NC	MD	1821942.00
NH	MN	194884.00
LA	AZ	1119474.00
UT	SC	407140.00
NH	CT	783460.00
NJ	ND	1950619.00
PA	AR	2061184.00
NV	IN	1589490.00
VI	NV	265420.00
ID	CT	57650.00
MD	OH	19449086.00
IA	IA	149874698.00
AE	AR	3350.00
SC	ND	251287.00
ID	MN	249552.00
WY	SD	324555.00
WY	TN	209639.00
OR	AK	1357585.00
MT	WY	75750.00
DC	NE	3344307.00
NV	CA	12392009.00
WA	TX	4862045.00
AL	NY	5097075.00
PA	NV	4047414.00
WA	MA	20007722.00
MT	WV	12152.00
ZZ	NM	72300.00
ND	VA	606332.00
MP	AR	250.00
WI	ND	151947.00
LA	WI	1371316.00
AE	NV	6120.00
IA	FL	996713.00
VI	AR	7800.00
PR	MN	152550.00
OK	NE	530000.00
WA	KY	2296608.00
NE	NY	1688811.00
PR	CT	335500.00
CO	AL	1111661.00
WV	AL	129011.00
LA	NJ	2219090.00
RI	KS	73435.00
NM	WV	180440.00
NV	RI	602126.00
RI	DC	574441.00
VA	NV	7707859.00
PR	MO	8900.00
WA	MP	3226.00
OH	NC	3491651.00
LA	OR	437761.00
IN	WA	638548.00
PR	HI	17500.00
RI	OK	32550.00
ID	NH	78798.00
SW	IL	600.00
IA	GA	670273.00
AP	DC	1831.00
AL	WY	186400.00
KY	VT	567214.00
KS	AL	1082771.00
NY	OH	47132091.00
DE	NM	67750.00
VT	MS	25450.00
MO	VA	9187344.00
NH	NH	84866755.00
HI	VA	1168702.00
NE	WY	119550.00
WA	PA	3264661.00
KS	MI	479965.00
HO	MA	300.00
NE	WV	126620.00
BC	VA	6753.00
KS	UT	675630.00
PR	NH	13300.00
AZ	KY	1967640.00
ID	HI	87160.00
NM	NY	3150123.00
TN	NC	6333587.00
ID	MO	175343.00
SD	NC	226270.00
AR	MS	875475.00
MA	VT	10978802.00
CA	OK	6876479.00
TX	VT	5713732.00
MT	NY	933379.00
AL	WV	1121373.00
VA	AR	7682556.00
AZ	TX	4863649.00
CA	DC	62197442.00
AZ	MA	21626343.00
AU	VA	312.00
PR	PR	17728095.00
NH	MO	155850.00
NH	HI	103236.00
NJ	TX	8768375.00
NV	MS	1423575.00
NJ	MA	33845755.00
AE	NM	3500.00
IL	GA	8908088.00
IN	OK	493885.00
ZZ	NV	97742.00
ID	VA	1646230.00
RI	WA	386324.00
LA	AS	13500.00
PA	NM	1755175.00
SC	MA	8794858.00
IN	DC	10582831.00
SC	TX	2991665.00
KS	SD	754585.00
KS	TN	223234.00
MO	PR	500.00
NJ	KY	6521793.00
NY	NE	5239535.00
GA	IL	30716747.00
MO	NH	802524.00
SH	MA	500.00
MI	WV	586646.00
UT	WV	175040.00
KY	LA	761620.00
HI	NH	175573.00
NH	VA	2958290.00
AA	OH	2750.00
SC	KY	1681464.00
PR	VA	1438697.00
UT	WY	327950.00
GU	DE	26900.00
LA	CO	1089376.00
FL	GA	15922916.00
NM	SC	941742.00
MC	CA	3500.00
WI	KY	1265387.00
MS	ME	68750.00
AK	ID	35450.00
MI	WY	261050.00
WA	ND	1093201.00
MO	HI	185731.00
MT	SC	68925.00
ME	IL	7218272.00
MO	MO	279025796.00
CA	WA	26046454.00
VI	NM	66950.00
MA	LA	1812418.00
ND	MN	1842137.00
WI	MA	8658710.00
OR	DE	105352.00
QU	VT	1350.00
WI	TX	1936465.00
TX	LA	18526636.00
HI	HI	95242018.00
ND	CT	10150.00
HI	MO	120382.00
ZZ	AR	15900.00
TX	ID	2208695.00
AA	TX	1133.00
AA	MA	27000.00
MN	MT	1225641.00
NE	NC	263327.00
MA	ID	836060.00
PR	AR	20150.00
CO	VI	28000.00
DC	PA	26275123.00
LA	MS	4431584.00
CT	MT	2168264.00
SD	WV	70200.00
NV	AS	121795.00
TN	WV	1883380.00
VA	PR	185250.00
